Electric driving range,oldcartype,Age,Gender,Oneway_commute_dist,Long_trip_num,Safety,Refuelling/Recharging costs,Environmental impacts,Reliability,Electric driving range.1,Convenience of charging,Household_income,"Home Charging (L1, L2, None)","Work charging (L1, L2, DC, none)",Public charging,Second_vehicle,"Lease (1 lease, 0 other)",Discontinuance (inc. purchased lease) 2
0.031141868512110725,1.0,0.7580645161290323,1.0,0.28606629510120274,0.0,1.0,1.0,0.75,1.0,0.25,1.0,0.2,0.5,0.6666666666666666,0.6666666666666666,0.12280701754385964,1.0,0.0
0.25259515570934254,0.0,0.11290322580645161,1.0,0.007626870049867996,0.0,1.0,1.0,1.0,1.0,0.25,1.0,0.1,0.0,0.3333333333333333,0.0,0.12280701754385964,1.0,0.0
0.031141868512110725,1.0,0.7580645161290323,0.0,0.2576708712232326,0.06,1.0,0.75,1.0,1.0,0.25,0.25,0.3,1.0,0.6666666666666666,0.0,0.12280701754385964,1.0,0.0
0.1453287197231834,1.0,0.7580645161290323,0.0,0.013083015547081257,0.0,0.5,1.0,0.5,1.0,0.75,0.25,1.0,1.0,0.3333333333333333,0.6666666666666666,0.03508771929824561,1.0,1.0
0.25259515570934254,0.0,0.7580645161290323,0.0,0.05063068348489294,0.0,0.75,1.0,1.0,0.5,0.0,0.75,0.1,0.5,1.0,0.0,0.11403508771929824,1.0,0.0
0.25259515570934254,0.0,0.43548387096774194,1.0,0.17371663244353183,0.0,1.0,0.75,1.0,0.75,0.75,0.75,0.5,1.0,0.0,0.0,0.16842105263157894,1.0,1.0
0.031141868512110725,1.0,0.43548387096774194,0.0,0.04353182751540041,0.0,1.0,0.5,1.0,1.0,0.25,1.0,0.1,1.0,0.13333333333333333,0.6666666666666666,0.10526315789473684,1.0,1.0
0.031141868512110725,1.0,0.43548387096774194,0.0,0.08688765033734233,0.0,0.75,0.75,0.25,0.75,0.0,0.5,0.3,1.0,0.0,0.6666666666666666,0.15789473684210525,1.0,0.0
0.25259515570934254,0.0,0.43548387096774194,0.0,0.05679084775594017,0.0,1.0,1.0,1.0,1.0,0.25,1.0,0.2,0.5,0.0,0.0,0.12280701754385964,1.0,0.0
0.1453287197231834,1.0,0.27419354838709675,1.0,0.21537107656204169,0.0,0.5,1.0,1.0,1.0,0.25,1.0,0.4,0.5,0.0,0.0,0.21052631578947367,1.0,0.0
0.25259515570934254,0.0,0.5967741935483871,0.0,0.05743619829862131,0.0,0.5,1.0,0.75,1.0,0.25,0.75,0.2,0.5,0.0,1.0,0.14035087719298245,1.0,0.0
0.25259515570934254,0.0,0.7580645161290323,1.0,0.0906424171311235,0.0,0.75,1.0,1.0,1.0,0.5,0.25,0.5,1.0,0.3333333333333333,0.3333333333333333,0.11403508771929824,1.0,1.0
0.25259515570934254,0.0,0.5967741935483871,1.0,0.0188911704312115,0.0,1.0,1.0,1.0,0.75,0.25,0.75,0.7,0.5,0.0,0.0,0.21052631578947367,1.0,0.0
0.1453287197231834,1.0,0.5967741935483871,0.0,0.07908477559401585,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.12280701754385964,0.0,0.0
0.031141868512110725,1.0,0.27419354838709675,0.0,0.006981519507186859,0.0,0.5,0.75,0.75,0.75,0.75,0.75,0.2,1.0,0.3333333333333333,0.6666666666666666,0.15789473684210525,0.0,0.0
0.8996539792387543,0.0,0.9193548387096774,0.0,0.6763860369609856,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,0.0,0.0,0.2543859649122807,0.0,0.0
0.1453287197231834,1.0,0.27419354838709675,0.0,0.07943678498093283,0.0,0.5,0.75,0.75,0.5,0.25,0.5,1.0,0.5,0.0,0.0,0.19298245614035087,1.0,0.0
0.2422145328719723,1.0,0.6290322580645161,0.4,0.09000880023467292,0.0,0.8500000000000001,0.75,0.8500000000000001,0.8500000000000001,0.25,0.4,0.32,1.0,0.6666666666666666,0.0,0.15789473684210525,1.0,1.0
0.22491349480968859,0.0,0.9193548387096774,1.0,0.13141683778234087,0.0,1.0,1.0,1.0,1.0,0.25,1.0,0.0,1.0,0.19999999999999998,0.19999999999999998,0.03508771929824561,0.0,1.0
0.1453287197231834,1.0,0.7580645161290323,0.0,0.041009093575828694,0.0,1.0,0.75,0.75,1.0,0.25,1.0,0.3,1.0,0.0,0.0,0.12280701754385964,0.0,0.0
0.25259515570934254,0.0,0.43548387096774194,1.0,0.18668231152830744,0.0,1.0,0.75,1.0,1.0,0.25,0.25,0.2,0.5,0.0,0.6666666666666666,0.12280701754385964,1.0,0.0
0.8996539792387543,0.0,0.27419354838709675,0.0,0.07403930771487241,0.0,1.0,1.0,1.0,0.75,1.0,1.0,0.2,1.0,0.0,0.0,0.12280701754385964,0.0,0.0
0.8996539792387543,0.0,0.5967741935483871,0.0,0.08160750953358757,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.0,0.0,0.03508771929824561,1.0,1.0
0.031141868512110725,1.0,0.5967741935483871,1.0,0.1606336168964506,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.12280701754385964,1.0,1.0
0.25259515570934254,0.0,0.43548387096774194,0.0,0.04071575242006453,0.0,0.25,0.5,0.5,0.75,0.0,0.25,0.4,0.5,0.0,0.6666666666666666,0.12280701754385964,1.0,0.0
0.2422145328719723,1.0,0.9193548387096774,0.0,0.09997066588442359,0.0,1.0,1.0,1.0,0.75,0.75,1.0,0.3,1.0,0.6666666666666666,0.0,0.14912280701754385,1.0,1.0
0.1453287197231834,1.0,0.43548387096774194,0.0,0.02000586682311528,0.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,0.07017543859649122,0.0,0.0
0.24567474048442905,0.0,0.5967741935483871,0.0,0.0973305954825462,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.2,1.0,0.3333333333333333,0.6666666666666666,0.12280701754385964,1.0,0.0
0.031141868512110725,1.0,0.43548387096774194,0.0,0.03308888237019654,0.0,1.0,0.75,0.5,1.0,0.0,0.75,0.6,1.0,0.6666666666666666,0.6666666666666666,0.12280701754385964,1.0,0.0
0.25259515570934254,0.0,0.27419354838709675,1.0,0.1160457612202992,0.0,0.6,0.6,0.65,0.8500000000000001,0.2,0.2,0.36,0.5,0.6666666666666666,0.6666666666666666,0.3508771929824561,1.0,1.0
0.25259515570934254,0.0,0.43548387096774194,0.0,0.059606922851276035,0.0,0.25,0.5,0.75,0.75,0.0,0.25,0.2,0.0,0.0,0.6666666666666666,0.11403508771929824,1.0,0.0
0.031141868512110725,1.0,0.5967741935483871,0.0,0.21666177764740394,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.3333333333333333,0.0,0.14035087719298245,0.0,0.0
0.25259515570934254,0.0,0.43548387096774194,0.0,0.10535640950425344,0.0,1.0,1.0,1.0,1.0,0.5,0.75,0.3,0.5,0.6666666666666666,0.0,0.2807017543859649,1.0,1.0
0.2629757785467128,0.0,0.27419354838709675,0.0,0.0378175418011147,0.0,0.25,1.0,1.0,0.75,0.0,0.25,0.6,0.0,0.3333333333333333,0.6666666666666666,0.20350877192982458,1.0,1.0
0.25259515570934254,0.0,0.43548387096774194,0.0,0.019301848049281315,0.0,0.75,0.75,1.0,0.75,0.25,0.5,0.6,0.5,0.3333333333333333,0.0,0.12280701754385964,1.0,0.0
0.1453287197231834,1.0,0.5967741935483871,0.0,0.1652684071575242,0.2,0.75,0.25,0.75,1.0,0.5,0.5,0.2,1.0,0.6666666666666666,0.0,0.16666666666666666,1.0,0.0
0.031141868512110725,1.0,0.7580645161290323,0.0,0.020533880903490762,0.0,1.0,1.0,0.75,0.75,0.0,0.75,0.2,1.0,0.0,0.0,0.32456140350877194,1.0,0.0
0.25259515570934254,0.0,0.7580645161290323,0.0,0.24294514520387214,0.0,0.75,1.0,1.0,1.0,0.0,0.25,0.2,1.0,0.26666666666666666,0.4666666666666666,0.14035087719298245,1.0,1.0
0.2629757785467128,0.0,0.27419354838709675,1.0,0.008565561748313289,0.0,1.0,1.0,1.0,0.25,0.0,0.0,0.26,0.5,0.0,0.0,0.13157894736842105,1.0,1.0
0.2422145328719723,0.0,0.43548387096774194,0.0,0.12109122909944266,0.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.6666666666666666,0.0,0.19298245614035087,1.0,0.0
0.1453287197231834,1.0,0.5967741935483871,0.0,0.06669404517453799,0.0,0.65,0.95,0.8,0.8999999999999999,0.65,0.7,0.44000000000000006,0.5,0.6666666666666666,0.0,0.12280701754385964,1.0,1.0
0.031141868512110725,1.0,0.7580645161290323,0.0,0.09294221179231447,0.0,0.8,0.8500000000000001,0.8500000000000001,0.8,0.25,0.55,0.22000000000000003,0.5,0.13333333333333333,0.19999999999999998,0.043859649122807015,1.0,1.0
0.8996539792387543,0.0,0.5967741935483871,0.0,0.006512173657964212,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.0,0.0,1.0,0.11403508771929824,1.0,0.0
1.0,0.0,0.7580645161290323,0.0,0.034203578762100326,0.0,1.0,0.0,1.0,1.0,0.25,0.25,0.2,0.0,0.13333333333333333,0.13333333333333333,0.08771929824561403,0.0,1.0
0.2629757785467128,0.0,0.43548387096774194,1.0,0.029686124963332356,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,0.0,0.0,0.12280701754385964,1.0,1.0
0.1453287197231834,1.0,0.43548387096774194,0.0,0.0553241419771194,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.0,0.12280701754385964,1.0,0.0
0.1453287197231834,1.0,0.7580645161290323,0.0,0.16438838369023176,0.0,0.75,0.75,0.75,0.75,0.5,0.75,0.3,0.5,0.0,0.0,0.2807017543859649,1.0,0.0
0.1453287197231834,1.0,0.11290322580645161,1.0,0.019125843355822823,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.1,0.0,0.39999999999999997,0.13333333333333333,0.13157894736842105,1.0,1.0
0.25259515570934254,0.0,0.5967741935483871,1.0,0.046582575535347615,0.0,1.0,1.0,1.0,1.0,0.75,1.0,0.7,0.5,0.0,0.0,0.12280701754385964,1.0,0.0
0.031141868512110725,1.0,0.9193548387096774,0.0,0.1019301848049281,0.0,0.8500000000000001,0.75,0.8,0.8,0.30000000000000004,0.55,0.24,0.0,0.13333333333333333,0.13333333333333333,0.3157894736842105,1.0,1.0
0.031141868512110725,1.0,0.5967741935483871,1.0,0.1339395717219126,0.0,1.0,1.0,1.0,1.0,0.25,0.25,0.1,0.5,0.0,0.0,0.02631578947368421,1.0,1.0
0.1453287197231834,1.0,0.7580645161290323,0.0,0.0029920797887943683,0.0,0.5,1.0,0.75,1.0,1.0,1.0,0.5,0.5,0.6666666666666666,0.0,0.21052631578947367,0.0,1.0
0.25259515570934254,0.0,0.7580645161290323,0.0,0.05110002933411559,0.0,1.0,1.0,1.0,1.0,0.5,0.75,0.2,1.0,0.0,0.0,0.18421052631578946,1.0,0.0
0.1453287197231834,1.0,0.43548387096774194,1.0,0.08248753300088003,0.0,1.0,1.0,1.0,1.0,0.75,1.0,0.4,0.0,0.6666666666666666,0.0,0.14035087719298245,1.0,0.0
0.25259515570934254,0.0,0.43548387096774194,0.0,0.037078322088589036,0.0,0.75,1.0,1.0,1.0,0.25,0.75,0.7,1.0,0.6666666666666666,0.0,0.11403508771929824,1.0,0.0
0.1453287197231834,1.0,0.7580645161290323,0.0,0.21789381050161338,0.0,0.75,1.0,1.0,1.0,1.0,0.75,0.2,1.0,0.0,0.0,0.19298245614035087,1.0,0.0
0.8961937716262975,0.0,0.43548387096774194,0.0,0.03995306541507774,0.06,1.0,1.0,1.0,1.0,0.75,1.0,0.2,1.0,0.0,0.0,0.6842105263157895,1.0,0.0
